id,text,context_id,context_text,category,dataset_name,tokenizer
142120,Bank of America has only one call center.,Bank_of_America,"Bank of America Corporation ( abbreviated as BofA ) is a multinational banking and financial services corporation headquartered in Charlotte , North Carolina . It is ranked 2nd on the list of largest banks in the United States by assets . As of 2016 , Bank of America was the 26th largest company in the United States by total revenue . In 2016 , it was ranked # 11 on the Forbes Magazine Global 2000 list of largest companies in the world .   Its acquisition of Merrill Lynch in 2008 made it the world 's largest wealth management corporation and a major player in the investment banking market . As of December 31 , 2016 , it had US$ 886.148 billion in assets under management ( AUM ) .   As of December 31 , 2016 , the company held 10.73 % of all bank deposits in the United States . It is one of the Big Four banks in the United States , along with Citigroup , JPMorgan Chase and Wells Fargo -- its main competitors . Bank of America operates -- but does not necessarily maintain retail branches -- in all 50 states of the United States , the District of Columbia and more than 40 other countries . It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines ( ATMs ) .   Bank of America provides its products and services through 4,600 retail financial centers , approximately 15,900 automated teller machines , call centers , and online and mobile banking platforms . Its Consumer Real Estate Services segment offers consumer real estate products comprising fixed and adjustable-rate first-lien mortgage loans for home purchase and refinancing needs , home equity lines of credit , and home equity loans .   Bank of America has been the subject of many lawsuits and investigations regarding both mortgages and financial disclosures dating back to the financial crisis , including a record settlement of $ 16.65 billion on August 21 , 2014 .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
177847,Milk is based on the life of a person.,Milk_(film),"Milk is a 2008 American biographical film based on the life of gay rights activist and politician Harvey Milk , who was the first openly gay person to be elected to public office in California , as a member of the San Francisco Board of Supervisors . Directed by Gus Van Sant and written by Dustin Lance Black , the film stars Sean Penn as Milk and Josh Brolin as Dan White , a city supervisor who assassinated Milk and Mayor George Moscone . The film was released to much acclaim and earned numerous accolades from film critics and guilds . Ultimately , it received eight Academy Award nominations , including Best Picture , winning two for Best Actor in a Leading Role for Penn and Best Original Screenplay for Black .   Attempts to put Milk 's life to film followed a 1984 documentary of his life and the aftermath of his assassination , titled The Times of Harvey Milk , which was loosely based upon Randy Shilts 's biography , The Mayor of Castro Street ( the film won the Academy Award for Best Documentary Feature for 1984 , and was awarded Special Jury Prize at the first Sundance Film Festival , among other awards ) . Various scripts were considered in the early 1990s , but projects fell through for different reasons , until 2007 . Much of Milk was filmed on Castro Street and other locations in San Francisco , including Milk 's former storefront , Castro Camera .   Milk begins on Harvey Milk 's 40th birthday ( in 1970 ) , when he was living in New York City and had not yet settled in San Francisco . It chronicles his foray into city politics , and the various battles he waged in the Castro neighborhood as well as throughout the city , and political campaigns to limit the rights of gay people in 1977 and 1978 run by Anita Bryant and John Briggs . His romantic and political relationships are also addressed , as is his tenuous affiliation with troubled Supervisor Dan White ; the film ends with White 's double homicide of Milk and Mayor George Moscone . The film 's release was tied to the 2008 California voter referendum on gay marriage , Proposition 8 , when it made its premiere at the Castro Theatre two weeks before election day .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
108739,James Brolin has had roles in situational comedies.,James_Brolin,"James Brolin ( -LSB- ˈbroʊlᵻn -RSB- born July 18 , 1940 ) is an American actor , producer , and director , best known for his roles in film and television , including sitcoms and soap operas . He is the father of actor Josh Brolin and husband of singer/actress Barbra Streisand .   Among other awards , Brolin has won two Golden Globes and an Emmy . He received a star on the Hollywood Walk of Fame on August 27 , 1998 .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
4134,The Challenge XXX: Dirty 30 is a season of a show on MTV.,The_Challenge_XXX:_Dirty_30,"The Challenge XXX : Dirty 30 is the thirtieth season of the MTV reality competition series , The Challenge . The rumored individual format was filmed in Colombia , with alumni from Real World , Road Rules , The Challenge ( Spring Break Challenge , Fresh Meat II , and Battle of the Bloodlines ) , and Are You the One ? competing .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
124243,Ayananka Bose works on movies in Bollywood.,Ayananka_Bose,"Ayananka Bose is an Indian cinematographer of Bollywood movies . He studied cinematography at the Film and Television Institute of Tamil Nadu , Chennai . He won the best cinematographer of Zee Cine Awards for the movie Kites in 2011 .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
178904,Dawood Ibrahim was born in the nineteen fifties.,Dawood_Ibrahim,"Dawood Ibrahim ( Marathi : दाऊद इब्राहीम कासकर , born Dawood Ibrahim Kaskar 26 December 1955 ) , known as Dawood Bhai or simply Bhai is a gangster and terrorist originally from Dongri in Mumbai , India . The word `` Bhai '' means `` Big brother '' . In the lingo of the Mumbai underworld , the word `` Bhai '' is attributed to members of the underworld who hold considerable power .   He heads the Indian organised crime syndicate D-Company founded in Mumbai . He is currently on the wanted list of Interpol for cheating , criminal conspiracy and running an organised crime syndicate .  He was number three on the The World 's 10 Most Wanted .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
162680,Norman Bates is from the Steven King novel Psycho.,Norman_Bates,"Norman Bates is a fictional character created by Robert Bloch as the main antagonist in his 1959 novel Psycho , and portrayed by Anthony Perkins in the 1960 film of the same name directed by Alfred Hitchcock and its sequels , and by Freddie Highmore in the television series Bates Motel . The character was inspired by Wisconsin murderer Ed Gein .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
204985,Tyler Perry is incapable of songwriting.,Tyler_Perry,"Tyler Perry ( born Emmitt Perry Jr. ; September 13 , 1969 ) is an American actor , comedian , filmmaker , writer , and songwriter , specializing in the gospel genre . Perry wrote and produced many stage plays during the 1990s and early 2000s . In 2011 , Forbes named him the highest paid man in entertainment ; he earned US$ 130 million between May 2010 and 2011 . With new shows lined up , along with older successful shows , his net worth in 2017 is estimated to be $ 600 million .   Perry is known for both creating and performing as the Madea character , a tough elderly black woman . Perry also creates films , some produced as live recordings of stage plays , and others professionally filmed using full sets and locations with full editing . Perry is estimated to have earned around US$ 75 million by 2008 . Many of Perry 's stage-play films have been subsequently adapted as professional films .   Perry has also created several television shows , his most successful of which is Tyler Perry 's House of Payne , a show that ran for eight seasons on TBS from June 21 , 2006 , to August 10 , 2012 . On October 2 , 2012 , Perry struck an exclusive multi-year partnership with Oprah Winfrey and her Oprah Winfrey Network . The partnership was largely for the purposes of bringing scripted television to the OWN network , Perry having had previous success in this department . Perry has created multiple scripted series for the network , the most successful being The Haves and the Have Nots . As of 2014 , The Haves and the Have Nots has given OWN its highest ratings to date . The series has also been referred to as being `` one of OWN 's biggest success stories with its weekly dose of soapy fun , filled with the typical betrayals , affairs , and manipulations . ''",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
61803,Raven-Symoné refuses to be a singer.,Raven-Symoné,"Raven-Symoné Christina Pearman (; born December 10, 1985), also known mononymously as Raven, is an American actress and singer, who VH1 ranked at number nine on their ""100 Greatest Kid Stars of All Time"" list in 2012.She began her career as a child actress, appearing as Olivia Kendall on The Cosby Show (1989–1992) and Nicole Lee on Hangin' with Mr. Cooper (1993–1997), both of which earned her a number of awards and nominations. As a teenager, she starred as Raven Baxter on the Disney Channel television series That's So Raven (2003–2007), for which she was nominated for numerous accolades. Since 2017, Raven-Symoné has reprised her role as Raven Baxter on Raven's Home, for which she was nominated for the Daytime Emmy Award for Outstanding Performer in Children's Programming. Her film credits include Dr. Dolittle (1998), Dr. Dolittle 2 (2001), College Road Trip (2008), and successful television films, including Zenon: Girl of the 21st Century (1999), The Cheetah Girls (2003), its sequel The Cheetah Girls 2 (2006), For One Night (2006), and Revenge of the Bridesmaids (2010). Raven-Symoné has also lent her voice to the animated series Kim Possible for the character Monique, and films such as Tinker Bell (2008).In music, Raven-Symoné released her debut studio album at the age of seven, Here's to New Dreams (1993), which saw the moderate commercial success of the single ""That's What Little Girls Are Made Of"". Her subsequent studio albums, Undeniable (1999), This Is My Time (2004), and Raven-Symoné (2008) saw some commercial success on the Billboard 200 chart in the United States. She also contributed vocals to several soundtracks from her Disney projects, including The Cheetah Girls (2003), That's So Raven (2004), That's So Raven Too! (2006), and The Cheetah Girls 2 (2006), several of which were certified platinum and gold. She was also a co-host of the ABC daytime talk show The View from 2015 to 2016.",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
92675,"Emperor Norton is immortalized by authors from different countries including Sweden, America, and England.",Mark_Twain,"Samuel Langhorne Clemens ( November 30 , 1835 -- April 21 , 1910 ) , better known by his pen name Mark Twain , was an American writer , humorist , entrepreneur , publisher , and lecturer . Among his novels are The Adventures of Tom Sawyer ( 1876 ) and its sequel , the Adventures of Huckleberry Finn ( 1885 ) , the latter often called `` The Great American Novel '' .   Twain was raised in Hannibal , Missouri , which later provided the setting for Tom Sawyer and Huckleberry Finn . He served an apprenticeship with a printer and then worked as a typesetter , contributing articles to the newspaper of his older brother Orion Clemens . He later became a riverboat pilot on the Mississippi River before heading west to join Orion in Nevada . He referred humorously to his lack of success at mining , turning to journalism for the Virginia City Territorial Enterprise . His humorous story , `` The Celebrated Jumping Frog of Calaveras County '' , was published in 1865 , based on a story that he heard at Angels Hotel in Angels Camp , California where he had spent some time as a miner . The short story brought international attention and was even translated into classic Greek . His wit and satire , in prose and in speech , earned praise from critics and peers , and he was a friend to presidents , artists , industrialists , and European royalty .   Twain earned a great deal of money from his writings and lectures , but he invested in ventures that lost most of it -- notably the Paige Compositor , a mechanical typesetter that failed because of its complexity and imprecision . He filed for bankruptcy in the wake of these financial setbacks , but he eventually overcame his financial troubles with the help of Henry Huttleston Rogers . He chose to pay all his pre-bankruptcy creditors in full , even after he had no legal responsibility to do so .   Twain was born shortly after an appearance of Halley 's Comet , and he predicted that he would `` go out with it '' as well ; he died the day after the comet returned . He was lauded as the `` greatest American humorist of his age '' , and William Faulkner called him `` the father of American literature '' .",Fact checking,BeIR/fever,dicta-il/dictalm2.0-AWQ
