id,text,context_id,context_text,category,dataset_name,tokenizer
168216,does legionella pneumophila cause pneumonia,1381477,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. Haemophilus influenzae is a type of bacteria that can cause pneumonia.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
87181,causes of left ventricular hypertrophy,47212,"Ventricular hypertrophy. Ventricular hypertrophy (VH) is thickening of the walls of a ventricle (lower chamber) of the heart.[1][2] Although left ventricular hypertrophy (LVH) is more common, right ventricular hypertrophy (RVH), as well as concurrent hypertrophy of both ventricles can also occur.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
527433,types of dysarthria from cerebral palsy,1212785,"See full list of 179 causes of Dysarthria. How Common are these Causes of Dysarthria? This information refers to the general prevalence and incidence of these diseases, not to how likely they are to be the actual cause of Dysarthria. Of the 179 causes of Dysarthria that we have listed, we have the following prevalence/incidence information: 1  0 causes are very common diseases. 2  3 causes are common diseases. 3  3 causes are uncommon diseases. 4  2 causes are rare diseases. 5  8 causes are very rare diseases. 6  167 causes have no prevalence information.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
451602,medicare's definition of mechanical ventilation,264876,"Typically, intubation refers to the placement of an endotracheal tube to assist the patient when they are not breathing effectively. The tube is placed into the trachea and connected to an assistive device for breathing.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
405717,is cdg airport in main paris,2768521,"Register now. This statistic shows the size of the world's largest airports, as of 2015. Charles de Gaulle airport in Paris covered an area of 3,200 hectares, ranking it in fifth place in terms of land mass, however when considering the passenger volumes of airports worldwide, CDG fell somewhat lower down the list. Saudi Arabia's King Fahr International airport covered by far the largest land area.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
168216,does legionella pneumophila cause pneumonia,7492748,Medical Definition of legionella. 1 capitalized : a genus of gram-negative rod-shaped bacteria (family Legionellaceae) that includes the causative agent (L. pneumophila) of Legionnaires' disease. 2plural legionellae \-ËÄ\ also legionellas : a bacterium of the genus Legionella.,Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
156493,do goldfish grow,5834209,"Common bacterial causes of diarrhea include campylobacter, salmonella, shigella and Escherichia coli. Diarrhea caused by bacteria and parasites can be common when traveling in developing countries and is often called traveler's diarrhea. 1  Medications. 2  Many medications can cause diarrhea.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
1133167,how is the weather in jamaica,402083,St. Lucia weather in September and October is the worst part of the annual hurricane season. The number of rain days each month varies as well from a low of 12 in April to a high of at least 20 days from July through November.he average low temperatures hover around the mid-70s. But it's the rainfall that determines the popularity of each month with visitors. St. Lucia weather in February through May is part of a regular dry season.,Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
148538,difference between rn and bsn,4447601,Comparing the RN and BSN: Whatâs the Difference? Many people are unfamiliar with the different types of nursing credentials. Nurses may hold one of several types of degrees ranging from the licensed practical nurse (LPN) to a Master of Nursing (MSN) or doctorate (DNP). One of the most commonly confused comparisons is that of the Registered Nurse (RN) and the Bachelor of Science in Nursing (BSN) prepared nurse.,Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
1113437,what is physical description of spruce,7430236,"In the northern portion of their range, the trees grow from sea level to 2500 ft. (750 m). sugar pine (Pinus lambertiana). Needles: Occur in bundles of 5; 2-4 long; white lines on all 3 surfaces of each 3-sided needle. Fruit: Huge, woody cones, 10-20 long (larger than western white pine cones) and straight.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
87452,causes of military suicide,227211,"combat and operational stress. combat and operational stress. The expected and predictable emotional, intellectual, physical, and/or behavioral reactions of Service members who have been exposed to stressful events in war or military operations other than war.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
87181,causes of left ventricular hypertrophy,8683178,The treatment for left ventricular hypertrophy depends on the cause of the condition. Doctors will aim to eliminate the cause of the heartâs enlargement in order to normalize the heartâs efforts and prevent incapacitation of the heart muscles.,Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
156493,do goldfish grow,1960253,"Last week, scientists netted a 4-pound, 1.5-foot-long goldfish in Lake Tahoe. The scientists also found 15 other goldfish, indicating theyâre probably reproducing in the lake high in the Sierra Nevada. The goldfish were probably aquarium-raised and then dumped by their owners.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
359349,how to find the midsegment of a trapezoid,6113314,"How to Calculate the Area of a Trapezoid. A trapezoid is a quadrilateral with two parallel sides of different lengths. This means that both of these sides can be called a base, and that the trapezoid is unique in having two bases.If want to know how to calculate the area of a trapezoid, just follow these steps.ow to Calculate the Area of a Trapezoid. A trapezoid is a quadrilateral with two parallel sides of different lengths. This means that both of these sides can be called a base, and that the trapezoid is unique in having two bases. If want to know how to calculate the area of a trapezoid, just follow these steps.",Misc,BeIR/msmarco,dicta-il/dictalm2.0-AWQ
