id,segments_id,text,category,dataset_name,tokenizer
1257_Samalas_eruption,0,"The 1257 Samalas eruption was a major volcanic eruption of the Samalas volcano , next to Mount Rinjani on the island of Lombok , Indonesia . It left a large caldera next to Rinjani volcano , the lake Segara Anak . This volcanic eruption reached a volcanic explosivity index of 7 , making it one of the largest eruptions of the Holocene . The occurrence of this eruption was originally deduced from ice core information revealing a spike in sulfate deposition around the year 1257 ; in 2013 the source of this eruption at Samalas was definitively proven as a result of historical records from that time . This eruption proceeded during four distinct phases , alternately creating eruption columns reaching up for tens of kilometres and pyroclastic flows that buried large parts of Lombok , destroying human habitations including the city of Pamatan . Ash from the eruption fell as far as Java . The volume of the deposits left exceeds 10 km3 .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
1257_Samalas_eruption,1,"Later activity from the volcano created additional volcanic centres in the caldera , including the present day active Barujari cone . The eruption was witnessed by humans on Lombok , who recorded its effects on text written on palm leaves . The aerosols injected by the volcano into the atmosphere reduced the solar radiation reaching the surface of the Earth , triggering a volcanic winter and cooling lasting for several years . It is possible that the 1257 Samalas eruption helped trigger the Little Ice Age .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2006_North_American_heat_wave,0,"The 2006 North American heat wave spread throughout most of the United States and Canada beginning on July 15 , 2006 , killing at least 225 people . That day the temperature reached 117 ° F ( 47 ° C ) in Pierre , South Dakota , with many places in South Dakota that hit well into the 120s . In early reports from this heat wave , at least three died in Philadelphia , Arkansas , and Indiana . In Maryland , the state health officials reported that three people died of heat-related causes . Another heat related death was suspected in Chicago . Although many heat related deaths go unreported , by July 19 , the Associated Press reported that the soaring heat was blamed for 12 deaths from Oklahoma City to the Philadelphia area . Reports by early morning July 20 raised the death toll to at least 16 in seven states . This period of heat also saw a wind storm ( derecho ) in St. Louis that caused widespread power outages , including for cooling centers designed to provide relief for those suffering from the heat .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2006_North_American_heat_wave,1,"In addition , places on the West Coast , like California 's Central Valley and Southern California experienced humid heat , which is unusual for the area .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
21st_century,0,"The 21st century is the current century of the Anno Domini era , in accordance with the Gregorian calendar . It began on January 1 , 2001 and will end on December 31 , 2100 . It is the first century of the 3rd millennium . It is distinct from the time span known as the 2000s , which began on January 1 , 2000 and will end on December 31 , 2099 .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2013_in_science,0,"A number of significant scientific events occurred in 2013 , including the discovery of numerous Earthlike exoplanets , the development of viable lab-grown ears , teeth , livers and blood vessels , and the atmospheric entry of the most destructive meteor since 1908 . The year also saw successful new treatments for diseases such as HIV , Usher syndrome and leukodystrophy , and a major expansion in the use and capabilities of technologies such as 3D printing and autonomous cars . The United Nations designated 2013 the International Year of Water Cooperation .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2004_Indian_Ocean_earthquake_and_tsunami,0,"The 2004 Indian Ocean earthquake occurred at 00:58:53 UTC on 26 December with the epicentre off the west coast of Sumatra , Indonesia . The shock had a moment magnitude of 9.1 -- 9.3 and a maximum Mercalli intensity of IX ( Violent ) . The undersea megathrust earthquake was caused when the Indian Plate was subducted by the Burma Plate and triggered a series of devastating tsunamis along the coasts of most landmasses bordering the Indian Ocean , killing 230,000 -- 280,000 people in 14 countries , and inundating coastal communities with waves up to 30 m high . It was one of the deadliest natural disasters in recorded history . Indonesia was the hardest-hit country , followed by Sri Lanka , India , and Thailand . It is the third-largest earthquake ever recorded on a seismograph and had the longest duration of faulting ever observed , between 8.3 and 10 minutes .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2004_Indian_Ocean_earthquake_and_tsunami,1,"It caused the entire planet to vibrate as much as 1 cm and triggered other earthquakes as far away as Alaska . Its epicentre was between Simeulue and mainland Indonesia . The plight of the affected people and countries prompted a worldwide humanitarian response . In all , the worldwide community donated more than US$ 14 billion ( 2004 ) in humanitarian aid . The event is known by the scientific community as the Sumatra -- Andaman earthquake . The resulting tsunami was given various names , including the 2004 Indian Ocean tsunami , South Asian tsunami , Indonesian tsunami , the Christmas tsunami , and the Boxing Day tsunami .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2015_South_Indian_floods,0,"The 2015 South Indian floods resulted from heavy rainfall generated by the annual northeast monsoon in November -- December 2015 . They affected the Coromandel Coast region of the South Indian states of Tamil Nadu and Andhra Pradesh , and the union territory of Puducherry , with Tamil Nadu and the city of Chennai particularly hard-hit . More than 500 people were killed and over 18 lakh ( 1.8 million ) people were displaced . With estimates of damages and losses ranging from nearly to over , the floods were the costliest to have occurred in 2015 , and were among the costliest natural disasters of the year . The flooding has been attributed to the 2014 -- 16 El Niño event .",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
2013–14_North_American_winter,0,"The 2013 -- 14 North American winter refers to winter as it occurred across the continent from late 2013 through early 2014 . While there is no well-agreed-upon date used to indicate the start of winter in the Northern Hemisphere , there are two definitions of winter which may be used . Based on the astronomical definition , winter begins at the winter solstice , which in 2013 occurred on December 21 , and ends at the March equinox , which in 2014 occurred on March 20 . Based on the meteorological definition , the first day of winter is December 1 and the last day February 28 . Both definitions involve a period of approximately three months , with some variability . __ TOC __",Fact checking,BeIR/climate-fever,dicta-il/dictalm2.0-AWQ
